AgentID,Alpha,k,Sigma,Theta
0,0.830091202935217,23.529582153320316,1.5,0.7
1,1.0078908238544284,23.529582153320316,1.5,0.7
2,0.830091202935217,27.142791137695315,1.5,0.7
3,0.830091202935217,23.529582153320316,1.3,0.7
4,0.830091202935217,23.529582153320316,1.5,0.9
5,0.830091202935217,27.142791137695315,1.3,0.9
6,1.0078908238544284,23.529582153320316,1.3,0.9
7,1.0078908238544284,27.142791137695315,1.5,0.9
8,1.0078908238544284,27.142791137695315,1.3,0.7
9,1.0078908238544284,27.142791137695315,1.3,0.9
10,1.0800679286566308,48.52908215332031,0.8,0.2
11,1.1115180927210457,48.52908215332031,0.8,0.2
12,1.0800679286566308,2.1432911376953125,0.8,0.2
13,1.0800679286566308,48.52908215332031,0.6,0.2
14,1.0800679286566308,48.52908215332031,0.8,0.4
15,1.0800679286566308,2.1432911376953125,0.6,0.4
16,1.1115180927210457,48.52908215332031,0.6,0.4
17,1.1115180927210457,2.1432911376953125,0.8,0.4
18,1.1115180927210457,2.1432911376953125,0.6,0.2
19,1.1115180927210457,2.1432911376953125,0.6,0.4
20,1.1299975535083508,11.029832153320312,1.1,0.9
21,1.1815036218111037,11.029832153320312,1.1,0.9
22,1.1299975535083508,14.643041137695313,1.1,0.9
23,1.1299975535083508,11.029832153320312,1.9,0.9
24,1.1299975535083508,11.029832153320312,1.1,0.2
25,1.1299975535083508,14.643041137695313,1.9,0.2
26,1.1815036218111037,11.029832153320312,1.9,0.2
27,1.1815036218111037,14.643041137695313,1.1,0.2
28,1.1815036218111037,14.643041137695313,1.9,0.9
29,1.1815036218111037,14.643041137695313,1.9,0.2
30,1.030173004192629,36.02933215332031,0.3,0.4
31,1.0640963274466684,36.02933215332031,0.3,0.4
32,1.030173004192629,39.64254113769531,0.3,0.4
33,1.030173004192629,36.02933215332031,0.9,0.4
34,1.030173004192629,36.02933215332031,0.3,0.6
35,1.030173004192629,39.64254113769531,0.9,0.6
36,1.0640963274466684,36.02933215332031,0.9,0.6
37,1.0640963274466684,39.64254113769531,0.3,0.6
38,1.0640963274466684,39.64254113769531,0.9,0.4
39,1.0640963274466684,39.64254113769531,0.9,0.6
40,1.0564921421951692,4.779957153320313,1.0,0.5
41,1.0390315847481597,4.779957153320313,1.0,0.5
42,1.0564921421951692,33.392666137695315,1.0,0.5
43,1.0564921421951692,4.779957153320313,1.5,0.5
44,1.0564921421951692,4.779957153320313,1.0,0.3
45,1.0564921421951692,33.392666137695315,1.5,0.3
46,1.0390315847481597,4.779957153320313,1.5,0.3
47,1.0390315847481597,33.392666137695315,1.0,0.3
48,1.0390315847481597,33.392666137695315,1.5,0.5
49,1.0390315847481597,33.392666137695315,1.5,0.3
50,1.1652576342085699,29.779457153320315,1.9,1.0
51,1.1396538612535208,29.779457153320315,1.9,1.0
52,1.1652576342085699,8.393166137695312,1.9,1.0
53,1.1652576342085699,29.779457153320315,0.8,1.0
54,1.1652576342085699,29.779457153320315,1.9,0.7
55,1.1652576342085699,8.393166137695312,0.8,0.7
56,1.1396538612535208,29.779457153320315,0.8,0.7
57,1.1396538612535208,8.393166137695312,1.9,0.7
58,1.1396538612535208,8.393166137695312,0.8,1.0
59,1.1396538612535208,8.393166137695312,0.8,0.7
60,1.103650790054076,17.279707153320313,0.6,0.3
