AgentID,Alpha,k,Sigma,Theta
0,0.8598484660479343,18.82386572265625,0.9,0.5
1,1.0906333486752935,18.82386572265625,0.9,0.5
2,0.8598484660479343,42.21206982421875,0.9,0.5
3,0.8598484660479343,18.82386572265625,0.6,0.5
4,0.8598484660479343,18.82386572265625,0.9,0.6
5,0.8598484660479343,42.21206982421875,0.6,0.6
6,1.0906333486752935,18.82386572265625,0.6,0.6
7,1.0906333486752935,42.21206982421875,0.9,0.6
8,1.0906333486752935,42.21206982421875,0.6,0.5
9,1.0906333486752935,42.21206982421875,0.6,0.6
10,1.0802717151989205,43.82336572265625,1.8,1.0
11,0.9631287498965411,43.82336572265625,1.8,1.0
12,1.0802717151989205,17.21256982421875,1.8,1.0
13,1.0802717151989205,43.82336572265625,1.3,1.0
14,1.0802717151989205,43.82336572265625,1.8,0.2
15,1.0802717151989205,17.21256982421875,1.3,0.2
16,0.9631287498965411,43.82336572265625,1.3,0.2
17,0.9631287498965411,17.21256982421875,1.8,0.2
18,0.9631287498965411,17.21256982421875,1.3,1.0
19,0.9631287498965411,17.21256982421875,1.3,0.2
20,1.1302538893817304,6.32411572265625,0.6,0.3
21,1.0427036246402883,6.32411572265625,0.6,0.3
22,1.1302538893817304,4.712819824218751,0.6,0.3
23,1.1302538893817304,6.32411572265625,1.0,0.3
24,1.1302538893817304,6.32411572265625,0.6,0.4
25,1.1302538893817304,4.712819824218751,1.0,0.4
26,1.0427036246402883,6.32411572265625,1.0,0.4
27,1.0427036246402883,4.712819824218751,0.6,0.4
28,1.0427036246402883,4.712819824218751,1.0,0.3
29,1.0427036246402883,4.712819824218751,1.0,0.4
30,1.030428345748351,31.323615722656253,1.3,0.8
31,1.1441849917631814,31.323615722656253,1.3,0.8
32,1.030428345748351,29.712319824218753,1.3,0.8
33,1.030428345748351,31.323615722656253,2.2,0.8
34,1.030428345748351,31.323615722656253,1.3,0.9
35,1.030428345748351,29.712319824218753,2.2,0.9
36,1.1441849917631814,31.323615722656253,2.2,0.9
37,1.1441849917631814,29.712319824218753,1.3,0.9
38,1.1441849917631814,29.712319824218753,2.2,0.8
39,1.1441849917631814,29.712319824218753,2.2,0.9
40,1.0567063764280473,0.07424072265625001,1.5,0.7
41,1.1903958516804576,0.07424072265625001,1.5,0.7
42,1.0567063764280473,48.46194482421875,1.5,0.7
43,1.0567063764280473,0.07424072265625001,0.8,0.7
44,1.0567063764280473,0.07424072265625001,1.5,0.5
45,1.0567063764280473,48.46194482421875,0.8,0.5
46,1.1903958516804576,0.07424072265625001,0.8,0.5
47,1.1903958516804576,48.46194482421875,1.5,0.5
48,1.1903958516804576,48.46194482421875,0.8,0.7
49,1.1903958516804576,48.46194482421875,0.8,0.5
50,1.165654606155418,25.073740722656254,0.8,0.2
51,1.0673492041828376,25.073740722656254,0.8,0.2
52,1.165654606155418,23.462444824218753,0.8,0.2
53,1.165654606155418,25.073740722656254,1.6,0.2
54,1.165654606155418,25.073740722656254,0.8,1.0
55,1.165654606155418,23.462444824218753,1.6,1.0
56,1.0673492041828376,25.073740722656254,1.6,1.0
57,1.0673492041828376,23.462444824218753,0.8,1.0
58,1.0673492041828376,23.462444824218753,1.6,0.2
59,1.0673492041828376,23.462444824218753,1.6,1.0
60,1.1038653541727639,12.57399072265625,1.1,0.9
61,1.0128611490965924,12.57399072265625,1.1,0.9
62,1.1038653541727639,10.96269482421875,1.1,0.9
63,1.1038653541727639,12.57399072265625,0.4,0.9
64,1.1038653541727639,12.57399072265625,1.1,0.7
65,1.1038653541727639,10.96269482421875,0.4,0.7
66,1.0128611490965924,12.57399072265625,0.4,0.7
67,1.0128611490965924,10.96269482421875,1.1,0.7
68,1.0128611490965924,10.96269482421875,0.4,0.9
69,1.0128611490965924,10.96269482421875,0.4,0.7
70,0.9953985870899892,37.57349072265625,0.3,0.4
71,1.1150508601588105,37.57349072265625,0.3,0.4
72,0.9953985870899892,35.96219482421875,0.3,0.4
73,0.9953985870899892,37.57349072265625,1.1,0.4
74,0.9953985870899892,37.57349072265625,0.3,0.3
75,0.9953985870899892,35.96219482421875,1.1,0.3
76,1.1150508601588105,37.57349072265625,1.1,0.3
77,1.1150508601588105,35.96219482421875,0.3,0.3
78,1.1150508601588105,35.96219482421875,1.1,0.4
79,1.1150508601588105,35.96219482421875,1.1,0.3
80,1.014752917650547,9.44905322265625,1.0,0.1
81,0.992913550578334,9.44905322265625,1.0,0.1
82,1.014752917650547,26.58738232421875,1.0,0.1
83,1.014752917650547,9.44905322265625,0.7,0.1
84,1.014752917650547,9.44905322265625,1.0,0.5
85,1.014752917650547,26.58738232421875,0.7,0.5
86,0.992913550578334,9.44905322265625,0.7,0.5
87,0.992913550578334,26.58738232421875,1.0,0.5
88,0.992913550578334,26.58738232421875,0.7,0.1
89,0.992913550578334,26.58738232421875,0.7,0.5
90,1.1164759545940166,34.44855322265625,-0.2,0.6
91,1.1025334668114688,34.44855322265625,-0.2,0.6
92,1.1164759545940166,1.5878823242187499,-0.2,0.6
93,1.1164759545940166,34.44855322265625,1.4,0.6
94,1.1164759545940166,34.44855322265625,-0.2,0.9
95,1.1164759545940166,1.5878823242187499,1.4,0.9
96,1.1025334668114688,34.44855322265625,1.4,0.9
97,1.1025334668114688,1.5878823242187499,-0.2,0.9
98,1.1025334668114688,1.5878823242187499,1.4,0.6
99,1.1025334668114688,1.5878823242187499,1.4,0.9
100,1.1944144972229132,21.948803222656252,1.4,0.4
101,1.1632232603007675,21.948803222656252,1.4,0.4
102,1.1944144972229132,14.08763232421875,1.4,0.4
103,1.1944144972229132,21.948803222656252,0.2,0.4
104,1.1944144972229132,21.948803222656252,1.4,0.7
105,1.1944144972229132,14.08763232421875,0.2,0.7
106,1.1632232603007675,21.948803222656252,0.2,0.7
107,1.1632232603007675,14.08763232421875,1.4,0.7
108,1.1632232603007675,14.08763232421875,0.2,0.4
109,1.1632232603007675,14.08763232421875,0.2,0.7
110,1.0686340270507912,46.94830322265625,0.7,0.8
111,1.0553701095834986,46.94830322265625,0.7,0.8
112,1.0686340270507912,39.08713232421875,0.7,0.8
113,1.0686340270507912,46.94830322265625,1.1,0.8
114,1.0686340270507912,46.94830322265625,0.7,0.2
115,1.0686340270507912,39.08713232421875,1.1,0.2
116,1.0553701095834986,46.94830322265625,1.1,0.2
117,1.0553701095834986,39.08713232421875,0.7,0.2
118,1.0553701095834986,39.08713232421875,1.1,0.8
119,1.0553701095834986,39.08713232421875,1.1,0.2
120,1.0441364265024295,15.69892822265625,0.4,0.9
121,1.079003683076034,15.69892822265625,0.4,0.9
122,1.0441364265024295,32.83725732421875,0.4,0.9
123,1.0441364265024295,15.69892822265625,0.5,0.9
124,1.0441364265024295,15.69892822265625,0.4,0.6
125,1.0441364265024295,32.83725732421875,0.5,0.6
126,1.079003683076034,15.69892822265625,0.5,0.6
127,1.079003683076034,32.83725732421875,0.4,0.6
128,1.079003683076034,32.83725732421875,0.5,0.9
129,1.079003683076034,32.83725732421875,0.5,0.6
130,1.1460525528698613,40.69842822265625,1.2,0.5
131,1.2687721874673732,40.69842822265625,1.2,0.5
132,1.1460525528698613,7.83775732421875,1.2,0.5
133,1.1460525528698613,40.69842822265625,1.2,0.5
134,1.1460525528698613,40.69842822265625,1.2,0.1
135,1.1460525528698613,7.83775732421875,1.2,0.1
136,1.2687721874673732,40.69842822265625,1.2,0.1
137,1.2687721874673732,7.83775732421875,1.2,0.1
138,1.2687721874673732,7.83775732421875,1.2,0.5
139,1.2687721874673732,7.83775732421875,1.2,0.1
140,1.0919161692535655,3.19917822265625,0.9,0.7
141,1.1286685029501702,3.19917822265625,0.9,0.7
142,1.0919161692535655,20.337507324218752,0.9,0.7
143,1.0919161692535655,3.19917822265625,0.9,0.7
144,1.0919161692535655,3.19917822265625,0.9,0.3
145,1.0919161692535655,20.337507324218752,0.9,0.3
146,1.1286685029501702,3.19917822265625,0.9,0.3
147,1.1286685029501702,20.337507324218752,0.9,0.3
148,1.1286685029501702,20.337507324218752,0.9,0.7
149,1.1286685029501702,20.337507324218752,0.9,0.3
150,0.9673485470336005,28.198678222656252,1.6,0.3
151,1.0288297576266396,28.198678222656252,1.6,0.3
152,0.9673485470336005,45.33700732421875,1.6,0.3
153,0.9673485470336005,28.198678222656252,1.7,0.3
154,0.9673485470336005,28.198678222656252,1.6,0.8
155,0.9673485470336005,45.33700732421875,1.7,0.8
156,1.0288297576266396,28.198678222656252,1.7,0.8
157,1.0288297576266396,45.33700732421875,1.6,0.8
158,1.0288297576266396,45.33700732421875,1.7,0.3
159,1.0288297576266396,45.33700732421875,1.7,0.8
160,0.9831111307810904,4.7616469726562505,0.1,0.8
161,1.1361178127721223,4.7616469726562505,0.1,0.8
162,0.9831111307810904,6.2752885742187505,0.1,0.8
163,0.9831111307810904,4.7616469726562505,1.3,0.8
164,0.9831111307810904,4.7616469726562505,0.1,0.4
165,0.9831111307810904,6.2752885742187505,1.3,0.4
166,1.1361178127721223,4.7616469726562505,1.3,0.4
167,1.1361178127721223,6.2752885742187505,0.1,0.4
168,1.1361178127721223,6.2752885742187505,1.3,0.8
169,1.1361178127721223,6.2752885742187505,1.3,0.4
170,1.097832549120437,29.761146972656253,1.1,0.4
171,1.0359605168164634,29.761146972656253,1.1,0.4
172,1.097832549120437,31.274788574218753,1.1,0.4
173,1.097832549120437,29.761146972656253,0.6,0.4
174,1.097832549120437,29.761146972656253,1.1,0.8
175,1.097832549120437,31.274788574218753,0.6,0.8
176,1.0359605168164634,29.761146972656253,0.6,0.8
177,1.0359605168164634,31.274788574218753,1.1,0.8
178,1.0359605168164634,31.274788574218753,0.6,0.4
179,1.0359605168164634,31.274788574218753,0.6,0.8
180,1.1551931805206828,17.261396972656254,0.7,0.6
181,0.9360594442368151,17.261396972656254,0.7,0.6
182,1.1551931805206828,43.77453857421875,0.7,0.6
183,1.1551931805206828,17.261396972656254,1.9,0.6
184,1.1551931805206828,17.261396972656254,0.7,0.6
185,1.1551931805206828,43.77453857421875,1.9,0.6
186,0.9360594442368151,17.261396972656254,1.9,0.6
187,0.9360594442368151,43.77453857421875,0.7,0.6
188,0.9360594442368151,43.77453857421875,1.9,0.6
189,0.9360594442368151,43.77453857421875,1.9,0.6
190,1.0505278709747734,42.26089697265625,1.4,0.2
191,1.0848036626012638,42.26089697265625,1.4,0.2
192,1.0505278709747734,18.77503857421875,1.4,0.2
193,1.0505278709747734,42.26089697265625,1.0,0.2
194,1.0505278709747734,42.26089697265625,1.4,0.2
195,1.0505278709747734,18.77503857421875,1.0,0.2
196,1.0848036626012638,42.26089697265625,1.0,0.2
197,1.0848036626012638,18.77503857421875,1.4,0.2
198,1.0848036626012638,18.77503857421875,1.0,0.2
199,1.0848036626012638,18.77503857421875,1.0,0.2
