,Equation,Consumption
0,N,2.6489413134489355
1,N,3.982414416011552
2,N,8.428073691345531
3,N,8.550550304944881
4,N,4.572535573578648
5,N,26.1510911003854
6,N,8.99832963101844
7,N,15.09215827792422
8,N,24.061275436053588
9,N,27.394608496367507
10,H,2.7365666433536524
11,H,2.353102383620594
12,H,1.6661560377914946
13,H,3.2569134654547125
14,N,0.005025925311788632
15,N,0.08056308107095325
16,N,0.23190366720373082
17,N,0.0022982211749124114
18,H,1.5865280273365545
19,N,0.0743869702175344
20,N,4.490176452597374
21,N,4.323220829157437
22,N,2.801948305564034
23,N,0.6725352719226251
24,N,2.823512078195161
25,N,0.4054125141614058
26,N,0.41883590746033506
27,N,1.8120919956792507
28,N,0.33818358095826223
29,N,0.4188362628100681
30,N,5.38935988787157
31,N,5.6466397775947295
32,N,5.219431721877838
33,N,3.2167383348864895
34,L,3.28409079830316
35,L,2.309443815010999
36,N,3.185678507761407
37,N,4.381528838830375
38,N,3.398910755921653
39,N,3.1139886555402385
40,N,0.07423487186705749
41,N,0.07423520976828049
42,N,6.692195152822043
43,N,0.07423537373041696
44,N,0.07423537373041696
45,N,18.807761012256602
46,N,0.07423537373041696
47,N,5.419189493930727
48,N,17.266020533781116
49,N,23.903205050611923
50,N,7.386007766825661
51,N,6.966999551575076
52,N,6.123599818407884
53,N,0.01716840133651294
54,H,2.607271549574995
55,H,2.0811411571848493
56,H,2.089296777891519
57,H,2.3294340607665203
58,N,0.017881342119808425
59,H,2.0089340002145764
60,L,2.122862853052942
61,H,1.4959700738597952
62,L,1.9017413706369592
63,H,1.7858164842534396
64,N,3.4542391980539007
65,N,6.963767270918603
66,N,7.405622363320136
67,N,3.1124744948210648
68,H,1.952122513442454
69,N,6.696455107426996
70,N,34.00696000171624
71,N,32.11877235933319
72,N,32.425178250293634
73,N,1.7508496264628586
74,N,35.67362806597236
75,N,2.2186174672090724
76,N,2.325474951716141
77,N,34.69170417550123
78,N,1.7381394140911834
79,N,2.2327416526634924
80,N,0.8309825541591667
81,N,0.7709776483594889
82,N,5.402399428549792
83,N,4.570404762460756
84,N,0.8309815261899238
85,N,8.250959037662042
86,N,2.770978043142155
87,N,3.1522159030933237
88,N,18.155381755248143
89,N,8.155388037466187
90,N,34.44820166479991
91,N,34.44820166479991
92,N,1.0767756135144355
93,N,6.340242515463531
94,L,34.19820171612568
95,H,0.5388690509182154
96,N,4.458656963798418
97,L,4.651502388195064e-06
98,N,0.8038875884749502
99,H,0.5289447758566376
100,N,0.0512424121790094
101,N,0.05182512474907061
102,N,0.034582386322576486
103,N,21.83768910782899
104,N,4.962089535505365
105,N,11.95240487325785
106,N,19.315297962530106
107,N,3.290932574108231
108,N,13.635550395544845
109,N,11.849839183608495
110,N,14.72779252472317
111,N,14.70608072519401
112,N,12.658264801935244
113,N,8.556180952316192
114,N,18.58227562421751
115,N,1.728768171312046
116,N,1.8087541425454712
117,N,15.802909218665041
118,N,7.520941712665187
119,N,1.750755968496884
120,H,2.4940568780438164
121,H,2.3476626623540957
122,L,8.418411067154294
123,H,2.258262294973686
124,N,9.306364816166933
125,N,17.9181283609012
126,N,9.18484363946348
127,N,21.41925612429221
128,L,6.924788872187314
129,N,18.085922184241387
130,N,7.198623469427571
131,N,9.494669295968542
132,N,1.4552681887341288
133,N,7.198623469427571
134,N,0.6510965349066178
135,N,0.09505874229808867
136,N,0.6286097258580734
137,N,0.09393111776811815
138,N,1.8612740558830476
139,N,0.09393111776811815
140,N,1.6338177234102655
141,N,1.6859125270398658
142,N,7.342219807707537
143,N,1.6338177234102655
144,N,0.7386573087671591
145,N,2.838617432432432
146,N,0.7155308633356223
147,N,2.7493748172625123
148,N,7.440433604485938
149,N,2.7493748172625123
150,N,0.011845757815014494
151,N,0.012189248293930716
152,N,0.02640269441843771
153,N,0.006169532298194719
154,N,3.969378232490733
155,N,4.7854650184632375
156,N,3.8862287211164075
157,N,5.323537906525315
158,N,0.013144269842635743
159,N,4.9740549612401495
160,H,1.4396296576948935
161,L,2.6118097864109435
162,H,2.3778130792817915
163,H,0.9008943234890674
164,N,4.7615941235388854
165,N,0.03220055808546305
166,N,0.03091099404538946
167,N,6.275221640325069
168,L,1.6053733422839562
169,N,0.03802560727213885
170,N,1.4452490029454608
171,N,1.4200441081403756
172,N,1.5147634447792746
173,N,14.284462474728228
174,N,6.355726271470694
175,N,12.499849154885604
176,N,11.94793407124146
177,N,6.433707548601105
178,N,15.499811724901868
