Seed,Model Type,Max Nodes,Learning Rate,Batch Size,Model MAE,Validation MAE,Model Max AE,Validation Max AE,Model Wrong i_a,Validation Wrong i_a,Model Consumption MAE,Validation Consumption MAE,Model Consumption Max AE,Validation Consumption Max AE,Model i_a MAE,Validation i_a MAE,Model i_a Max AE,Validation i_a Max AE
42,FourLayer,1024,0.0001,64,0.0091349296271801,0.009492568671703339,0.13716931641101837,0.1415949910879135,473.0,123.0,0.06766488403081894,0.06913509219884872,0.6192871928215027,0.6407235860824585,0.011317633092403412,0.011881846003234386,0.12962906062602997,0.13360124826431274
42,FourLayer,1024,0.01,512,0.022633323445916176,0.02006380818784237,0.3130650818347931,0.2850598692893982,1843.0,420.0,0.17156629264354706,0.16066546738147736,2.206374406814575,2.1330111026763916,0.027639061212539673,0.023620037361979485,0.2760809659957886,0.2700277864933014
42,FourLayer,1024,0.01,64,0.01674569584429264,0.014697137288749218,0.1944493055343628,0.17553181946277618,1116.0,228.0,0.1452288031578064,0.13615010678768158,0.8631523251533508,0.8672001361846924,0.018569864332675934,0.015405523590743542,0.18614287674427032,0.16706034541130066
42,FourLayer,1024,0.001,512,0.012222220189869404,0.012542061507701874,0.2614838778972626,0.2637588381767273,785.0,216.0,0.09853329509496689,0.09828488528728485,1.651184320449829,1.873545527458191,0.01432062778621912,0.014985836111009121,0.22157208621501923,0.23976866900920868
42,FourLayer,1024,0.0001,128,0.01074530091136694,0.01092448364943266,0.18345901370048523,0.18091222643852234,698.0,194.0,0.07995979487895966,0.0800342708826065,0.934455156326294,0.9876867532730103,0.013275127857923508,0.01362584251910448,0.17113573849201202,0.17134049534797668
42,FourLayer,1024,0.001,128,0.0069053336046636105,0.007189587224274874,0.14935554563999176,0.15729917585849762,264.0,85.0,0.06620902568101883,0.06698769330978394,0.7208705544471741,0.7261953353881836,0.007008018903434277,0.007496517617255449,0.13769714534282684,0.1501687914133072
42,FourLayer,1024,0.01,128,0.010421929880976677,0.010662795975804329,0.18656858801841736,0.18884699046611786,574.0,165.0,0.10344140976667404,0.10382448881864548,0.8802525401115417,0.9492548704147339,0.010215763002634048,0.01065814308822155,0.17653726041316986,0.1800147145986557
42,FourLayer,1024,0.001,64,0.006441651377826929,0.006743476260453463,0.10763747245073318,0.12083539366722107,200.0,76.0,0.061723269522190094,0.06323186308145523,0.5307399034500122,0.5685058832168579,0.006541546434164047,0.006990186870098114,0.09926319122314453,0.11293747276067734
42,FourLayer,1024,0.0001,512,0.01622437685728073,0.016173817217350006,0.28125548362731934,0.2641943693161011,1345.0,342.0,0.10972730815410614,0.10790793597698212,2.027395248413086,2.021188974380493,0.02117481827735901,0.02126062475144863,0.2378152459859848,0.24434801936149597
42,ThreeLayer,2048,0.01,512,0.02683917060494423,0.026381317526102066,0.32273003458976746,0.32329002022743225,2266.0,504.0,0.20011179149150848,0.19177284836769104,2.8887901306152344,2.960904359817505,0.03311784565448761,0.033058926463127136,0.2512669861316681,0.2519407868385315
