Seed,Model Type,Max Nodes,Learning Rate,Batch Size,Model MAE,Validation MAE,Model Max AE,Validation Max AE,Model Wrong i_a,Validation Wrong i_a,Model Consumption MAE,Validation Consumption MAE,Model Consumption Max AE,Validation Consumption Max AE,Model i_a MAE,Validation i_a MAE,Model i_a Max AE,Validation i_a Max AE
42,FourLayer,1024,0.001,64,0.013916857540607452,0.015607672743499279,0.1588222086429596,0.175350621342659,164.0,56.0,0.7648400068283081,0.8244359493255615,5.2975077629089355,6.351852893829346,0.012454153038561344,0.014637424610555172,0.14780637621879578,0.15131235122680664
42,FourLayer,1024,0.001,512,0.021960513666272163,0.02434426359832287,0.2789686918258667,0.2521175742149353,302.0,82.0,1.2091257572174072,1.2711576223373413,11.718695640563965,11.655842781066895,0.019607681781053543,0.023127827793359756,0.2650744318962097,0.24503138661384583
42,FourLayer,1024,0.01,512,0.03970944881439209,0.03834066167473793,0.3381579518318176,0.3035029172897339,718.0,178.0,2.3048810958862305,2.223388671875,15.300119400024414,12.764493942260742,0.03307187929749489,0.031972967088222504,0.30295318365097046,0.28986239433288574
42,FourLayer,1024,0.001,128,0.017158685252070427,0.018477754667401314,0.20443591475486755,0.2079647034406662,236.0,62.0,0.9662134051322937,1.0225496292114258,7.771175384521484,8.216120719909668,0.014888541772961617,0.01639387011528015,0.1895342767238617,0.18644803762435913
42,FourLayer,1024,0.01,128,0.021869316697120667,0.02340659312903881,0.2277257889509201,0.23255035281181335,327.0,97.0,1.184005856513977,1.2374260425567627,8.39716911315918,8.901766777038574,0.019930399954319,0.021930774673819542,0.212144136428833,0.21843093633651733
42,FourLayer,1024,0.0001,512,0.03691723942756653,0.03745513781905174,0.2988939583301544,0.28657543659210205,703.0,215.0,1.7875308990478516,1.687744140625,14.183430671691895,13.161171913146973,0.03789043426513672,0.040972765535116196,0.26553258299827576,0.2741703987121582
42,FourLayer,1024,0.01,64,0.06762923300266266,0.0666351392865181,0.3895410895347595,0.3803931176662445,1115.0,250.0,4.103708744049072,4.227250576019287,18.127931594848633,18.739843368530273,0.05274021252989769,0.048267871141433716,0.315904825925827,0.27150747179985046
42,FourLayer,1024,0.0001,128,0.02153494395315647,0.022777194157242775,0.21604348719120026,0.2247237265110016,310.0,79.0,1.1961954832077026,1.2387967109680176,8.70660400390625,9.151145935058594,0.01901654712855816,0.020644405856728554,0.1997850388288498,0.19664748013019562
42,FourLayer,1024,0.0001,64,0.018164679408073425,0.020103424787521362,0.17591586709022522,0.1970413774251938,262.0,75.0,0.9889589548110962,1.06519615650177,6.307260990142822,7.313273906707764,0.016443168744444847,0.01878766342997551,0.16248178482055664,0.17114511132240295
42,ThreeLayer,2048,0.0001,512,0.039191052317619324,0.04101819917559624,0.2998115122318268,0.26654887199401855,871.0,243.0,1.671825647354126,1.712049126625061,13.292642593383789,12.46801471710205,0.0447646863758564,0.04761016368865967,0.2797982692718506,0.2488212287425995
42,ThreeLayer,2048,0.0001,64,0.03105565905570984,0.03318062797188759,0.20519889891147614,0.21893377602100372,554.0,166.0,1.2654063701629639,1.2966035604476929,7.455599784851074,8.29389762878418,0.036666251718997955,0.04028889164328575,0.19485555589199066,0.20355339348316193
42,ThreeLayer,2048,0.01,64,0.07912331074476242,0.07196947932243347,0.3905278146266937,0.33966249227523804,1562.0,335.0,3.952881097793579,3.76821231842041,17.777069091796875,16.019878387451172,0.07876130938529968,0.06816697865724564,0.3315417766571045,0.29409343004226685
42,ThreeLayer,2048,0.001,128,0.02197512798011303,0.02381024695932865,0.20857253670692444,0.21253271400928497,353.0,103.0,1.0274028778076172,1.0803208351135254,7.743860244750977,8.510465621948242,0.023291023448109627,0.025897184386849403,0.19695927202701569,0.19381627440452576
42,ThreeLayer,2048,0.01,512,0.05229972302913666,0.05234120041131973,0.3536865711212158,0.35359251499176025,1004.0,248.0,2.9891819953918457,2.931438684463501,17.222015380859375,16.000205993652344,0.044492367655038834,0.04573643207550049,0.3104356527328491,0.3252694010734558
