,Agent,Value,Consumption,i_a,m
82,S82,13.8771173487162,6.06711481151078,0.45,0.9
83,S83,-2.654348679852399,1.2205450814125614,0.45,0.9
84,S84,-7.073345593733122,2.198830833098506,0.45,0.9
85,S85,-2.347196299195269,3.4282798274663007,0.45,0.9
86,S86,-5.1956752663038035,1.4155109424061163,0.45,0.9
87,S87,9.810104180154688,9.983796138404479,0.45,0.9
88,S88,10.588050591104368,3.2638165028676185,0.45,0.9
89,S89,2.0479157772948553,3.730022866116665,0.45,0.9
90,S90,4.968658065287891,3.25059944164187,0.45,0.9
91,S91,1.8285682796122482,3.108380736547495,0.45,0.9
92,S92,2.2187744281557693,2.1590967705279582,0.45,0.9
93,S93,7.830359687706877,4.839789652706271,0.45,0.9
94,S94,7.312957911008166,3.020319346309296,0.45,0.9
95,S95,5.55583332666534,2.5079021972607882,0.45,0.9
96,S96,7.002630629007358,4.270534612591726,0.45,0.9
97,S97,1.1261322111144652,1.9405599476143347,0.45,0.9
98,S98,0.4509099728233239,2.901616983935831,0.45,0.9
99,S99,2.363308985593763,2.5668856629746735,0.45,0.9
100,S100,8.522132717589018,2.473340441168985,0.45,0.9
101,S101,4.531862054264659,2.4841607200060976,0.45,0.9
102,S102,-0.23830172205021,1.2275488990010852,0.45,0.9
103,S103,8.219163366391534,2.3752356923827502,0.45,0.9
104,S104,11.493165088690784,2.2918352895451757,0.45,0.9
105,S105,1.3873393750517111,1.1060140034674673,0.45,0.9
106,S106,6.759810719371791,2.0776071650538337,0.45,0.9
107,S107,-2.4226091398136527,1.11878572264784,0.45,0.9
108,S108,-4.185189633491296,1.1067792442463757,0.45,0.9
109,S109,-2.4554388204094533,1.100783659139726,0.45,0.9
110,S110,0.44241104540455967,3.236996087534183,0.45,0.9
111,S111,5.585949208552599,3.6309371125187644,0.45,0.9
112,S112,-0.5753121821180615,2.559295153709387,0.45,0.9
113,S113,35.195378315551714,44.46975107218504,0.45,0.9
114,S114,2.8241563515195933,3.1278896151188027,0.45,0.9
115,S115,21.184174596797373,29.597372075551906,0.45,0.9
116,S116,40.8756892859821,44.352155946465835,0.45,0.9
117,S117,6.745211833958182,2.7462174765049228,0.45,0.9
118,S118,24.75222246998785,29.817422004698464,0.45,0.9
119,S119,25.809621083441908,29.28608840432469,0.45,0.9
120,S120,-4.131519914390775,2.2134179374534395,0.45,0.9
121,S121,0.016133939316805956,2.3163634857161024,0.45,0.9
122,S122,1.9520371057280053,5.423492212062214,0.45,0.9
123,S123,-4.78316255304343,1.9718589899954133,0.45,0.9
124,S124,1.8456998082303144,1.743171489573747,0.45,0.9
125,S125,7.819639623063784,3.705883523679098,0.45,0.9
126,S126,5.703371187322418,1.6152799563029168,0.45,0.9
127,S127,13.53151618294262,4.633973097783158,0.45,0.9
128,S128,4.474300000604002,4.7882314737133305,0.45,0.9
129,S129,11.900615563454934,4.137542474976253,0.45,0.9
130,S130,32.729651661439995,37.76470099271921,0.45,0.9
131,S131,29.93545512997347,38.317865505790095,0.45,0.9
132,S132,17.626075678201897,22.661124574268534,0.45,0.9
