,Equation,Consumption
0,N,3.5449251449936017
1,N,4.229266276320482
2,N,3.8581081770952634
3,N,4.314978178421862
4,H,1.6895199116375663
5,H,2.0160099490332155
6,L,2.742050011237781
7,L,2.7265993097399748
8,N,5.498563143581236
9,L,2.984463910154406
10,N,20.19285647056927
11,N,20.373291057231555
12,N,0.8541008958325627
13,N,35.19285825633821
14,N,23.10284965814471
15,N,0.8294148451831892
16,N,25.37329916753122
17,N,0.6099086178479654
18,N,2.1432651918673
19,N,0.8689481060003095
20,L,1.9833871385849509
21,L,1.9708758289857378
22,L,2.312973717351696
23,L,1.674789281027101
24,N,0.4081945252258296
25,N,0.00148810678003758
26,N,0.00120743971463307
27,N,0.5150362953724782
28,N,2.5087270156247685
29,N,0.0015346327555294328
30,N,32.66561507572532
31,N,31.029695180154746
32,N,33.716891343625505
33,N,9.429918254435574
34,N,26.62078154983755
35,N,13.83047037787479
36,N,13.058797820003694
37,N,29.727909865956754
38,N,10.432366141952699
39,N,14.122530224586153
40,N,0.38736708324151664
41,N,0.3366827781608543
42,N,5.116993621923298
43,N,0.017432923204847725
44,N,0.33448763559307676
45,N,0.04655761034670502
46,N,0.0059851937228143585
47,N,2.8724349312158823
48,N,0.06421638158154651
49,N,0.04651570340840823
50,H,2.298605131188721
51,H,2.2468006057077345
52,H,1.1659882505848858
53,H,3.033693542553778
54,N,4.129112664450492
55,N,3.50833331682227
56,N,11.517478372093322
57,N,1.9734993477589555
58,H,1.0102094421190977
59,N,3.479605640632738
60,N,9.225687792942947
61,N,9.167163850265784
62,N,10.612708397144416
63,N,0.5700311899849507
64,H,1.9161850870124473
65,H,2.141389344094839
66,H,1.6892926305980007
67,H,2.3148396276748717
68,N,0.8689311486186088
69,H,2.121563668912271
70,N,6.37574682105824
71,N,6.238304364009544
72,N,6.709716067873055
73,L,20.6706516155166
74,N,0.3256519056650236
75,N,39.137414948922235
76,N,35.37098036837365
77,N,0.2977265003202296
78,L,22.866639844504185
79,N,38.88773548414511
80,H,1.6595882074627941
81,H,1.4747001445525263
82,L,8.996420372650011
83,H,1.2205450814125614
84,N,4.703733523606087
85,N,0.08936303459300164
86,N,0.026710351302372978
87,N,34.791948005777684
88,N,5.0936636225350105
89,N,0.0854588138947662
90,N,5.250865732780795
91,N,0.8149651390419308
92,N,2.2555189673362266
93,N,14.998521764907494
94,N,7.35017969372829
95,N,6.887559106098303
96,N,14.431499288722309
97,N,4.66176402345551
98,N,5.436875201305555
99,N,6.579730711722159
100,N,7.620428646261774
101,N,7.31544490213684
102,N,2.54647493103565
103,N,6.79239224251642
104,N,4.448295473164034
105,H,1.1060140034674673
106,L,2.967598951557619
107,H,1.11878572264784
108,N,2.335496967736145
109,H,1.100783659139726
110,N,0.02656644259243185
111,N,0.02686107717786919
112,N,0.013994058723614046
113,N,45.403685297134004
114,N,0.06860034996207583
115,N,30.26742069242628
116,N,45.403685297134004
117,N,3.8932783068949783
118,N,30.267419746412493
119,N,30.267419746412493
120,N,1.0979794818508541
121,N,1.154707415125204
122,N,5.255979208095946
123,N,0.19009819824932805
124,L,2.8092666458823694
125,N,7.866850085239342
126,N,3.6865417295414646
127,N,10.11521023374395
128,N,1.1161019912557901
129,N,8.190388508401496
130,N,39.153873986290215
131,N,39.153873986290215
132,N,24.01760917038242
133,N,24.673031861382487
134,N,39.153873986290215
135,N,16.236125063296175
136,N,27.5178645592509
137,N,24.01760917038242
138,N,13.207683117648529
139,N,16.864583547137936
140,N,0.006153632519061526
141,N,0.006336053162496043
142,N,0.027748159642098574
143,N,0.0017616212670142205
144,N,0.018340585606001155
145,N,0.018089560186231653
146,N,0.004623505857875764
147,N,0.09006578142297388
148,N,0.006857013166194583
149,N,0.01846594821259358
150,N,9.158243885275015
151,N,9.317114411847944
152,N,11.815000566001748
153,N,6.97900600776505
154,N,11.440546942414906
155,N,12.338466372352348
156,N,10.435781621018245
157,N,20.14337700742269
158,N,9.079854278894976
159,N,13.47037180032904
160,N,0.09254385961413408
161,N,0.09254385961413408
162,N,0.31237038860563304
163,N,0.09254385961413408
164,N,0.008000220574039832
165,N,13.99424015507865
166,N,0.09254385961413408
167,N,0.6351378634035106
168,N,10.967035947343655
169,N,14.300371786622339
170,N,12.828704754541688
171,N,13.13014314939647
172,N,31.657939501666753
173,N,5.537848837405258
174,N,13.286077094333024
175,N,8.715892436289753
176,N,6.052308696320135
177,N,32.97708441956712
178,N,8.617884949157007
179,N,9.248910174147024
180,N,1.2391803013465503
181,N,0.7443460532954518
182,N,2.7892420299760605
183,N,2.6710266224407864
184,N,2.6019839318659166
185,N,7.951888242281017
186,L,2.618178795707109
187,N,4.53454764465088
188,N,8.541096727676624
189,N,7.85286462941406
190,H,3.2867474293518444
191,H,3.273191748366968
192,H,1.2691648802362414
193,H,2.24307264661562
194,N,9.869058506778577
195,N,0.00033921404277824363
196,N,0.0007419179444432487
197,N,1.3159703429042313
198,H,1.1249379236084152
199,N,0.00034610252356247353
200,H,4.13209802441731
201,H,5.613216189029247
202,H,3.405590185716605
203,L,3.1817403798839927
204,H,4.13209802441731
205,L,2.8651635835344074
206,H,2.212208251253977
207,H,4.804352433663501
208,H,1.9973023066940372
209,H,1.9973023066940372
210,N,2.1913470259272603
211,N,2.06950133597384
212,N,2.067477839655484
213,N,0.023249982539666016
214,N,11.250135539260576
215,N,4.5788814474970145
216,N,0.8579372762438063
217,N,5.061652920308663
218,N,0.021177289308921224
219,N,0.8233417053076308
220,N,2.9283152101842957
221,N,2.9537717459926407
222,N,14.178604508333748
