,Equation,Consumption
0,H,0.6380746145647156
1,N,1.2534585238737042
2,N,1.273266432623101
3,H,0.6777441908740611
4,H,0.6504211521697312
5,H,0.7595725320697077
6,H,0.910674048089386
7,L,1.1626864762304148
8,N,1.6736563478230306
9,L,1.2335004042188684
10,N,1.5819097567203022
11,N,1.7130138984824606
12,L,0.18802960343677225
13,N,2.2463953857939956
14,N,3.032301509009876
15,L,0.18802960343677225
16,N,3.440813037642873
17,L,0.18802960343677225
18,L,0.18802960343677225
19,L,0.18802960343677225
20,H,0.6692248024542429
21,H,0.7087833536453502
22,H,0.8149011071928461
23,H,0.7029133398059324
24,N,0.6378377490470671
25,N,0.6372481533679221
26,N,0.7032063572479648
27,N,0.9021381552405059
28,H,0.8815439831488676
29,N,0.7318350826328142
30,N,3.5593696570009827
31,N,3.627094975394872
32,N,3.8949010236558728
33,N,2.495282938991428
34,N,3.961666284339596
35,N,2.354111746838719
36,N,2.3860236413584586
37,N,4.429490671325366
38,N,2.5712840552564846
39,N,2.4294900562452875
40,H,0.3310604632041751
41,H,0.3222594928391674
42,N,2.271962141142489
43,H,0.38796606604248024
44,N,0.25789469265539156
45,N,1.1333267094098287
46,N,0.24062189388315836
47,N,1.0993829771345065
48,N,1.5588603611768945
49,N,1.0993813441397038
50,H,1.0477045448695717
51,H,1.0544413343405898
52,H,0.6285421909243377
53,H,0.8658341615634312
54,L,1.423282544755511
55,L,0.7454186336517313
56,L,1.9450221051444294
57,L,0.7154665735955564
58,H,0.48120854189412554
59,L,0.7154676992441685
60,N,1.5575194089867892
61,N,1.533959028683169
62,N,1.8504229887720112
63,N,1.0665537385757444
64,H,0.8749055873973468
65,H,0.9535345157727452
66,H,0.8513433569517836
67,H,0.9750653840880741
68,N,1.0394077493451688
69,H,0.9330210112705285
70,N,2.1409607609041
71,N,2.0886266943767673
72,N,2.1409617760000965
73,L,4.314247696744686
74,N,1.8410055162916044
75,N,5.270711178148669
76,N,4.7467832023728045
77,N,2.1298177635405113
78,H,2.7240265432723527
79,N,5.149687583084384
80,H,0.3049446662954453
81,H,0.330267157703713
